City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
141,Berlin,52.5244,13.4105,43.99,65,75,21.99,DE,broken clouds
142,Secovce,48.7007,21.661,39.76,68,100,8.99,SK,light rain
143,Lavrentiya,65.5833,-171.0,-3.91,86,4,4.32,RU,clear sky
144,Mundo Nuevo,18.7,-95.5,67.42,85,99,3.85,MX,overcast clouds
145,Broome,42.2506,-75.833,17.1,70,0,1.99,US,clear sky
146,Ballina,-28.8667,153.5667,72.79,88,83,5.32,AU,light rain
147,Tazovskiy,67.4667,78.7,-11.97,99,99,8.12,RU,overcast clouds
148,Ahipara,-35.1667,173.1667,60.35,92,100,7.85,NZ,overcast clouds
149,Port Elizabeth,-33.918,25.5701,81.1,77,78,19.33,ZA,broken clouds
150,Saldanha,-33.0117,17.9442,69.64,77,42,18.84,ZA,scattered clouds
151,Busselton,-33.65,115.3333,66.09,76,0,18.14,AU,clear sky
152,Tuatapere,-46.1333,167.6833,59.83,95,66,1.41,NZ,broken clouds
153,Kaeo,-35.1,173.7833,62.33,95,100,9.66,NZ,overcast clouds
154,La Ronge,55.1001,-105.2842,14.56,96,100,6.62,CA,light snow
155,Bijie,27.3125,105.2942,32.2,96,100,5.01,CN,light snow
156,Dakoro,14.5106,6.765,81.46,8,0,20.94,NE,clear sky
157,Charters Towers,-20.1,146.2667,74.43,80,4,5.82,AU,clear sky
158,Barrow,71.2906,-156.7887,-9.38,77,75,10.36,US,snow
159,Gharo,24.7424,67.5856,71.82,74,0,13.49,PK,clear sky
160,Port Lincoln,-34.7333,135.8667,66.38,84,0,11.14,AU,clear sky
161,Itoman,26.1247,127.6694,60.82,63,75,27.63,JP,broken clouds
162,Nanortalik,60.1432,-45.2371,16.61,61,100,10.65,GL,overcast clouds
163,Bluff,-46.6,168.3333,59.81,93,82,2.44,NZ,broken clouds
164,Naliya,23.2667,68.8333,68.38,84,0,8.1,IN,clear sky
165,Visby,57.6409,18.296,33.76,80,100,33.38,SE,overcast clouds
166,Lamar,33.6668,-95.5836,55.36,32,0,8.05,US,clear sky
167,Novyy Buyan,53.6861,50.0469,24.96,98,100,4.41,RU,overcast clouds
168,Okakarara,-20.5833,17.4333,77.86,58,99,7.99,NA,light rain
169,Inhambane,-23.865,35.3833,79.18,62,55,8.5,MZ,broken clouds
170,Daru,-9.0763,143.2092,76.12,87,100,6.82,PG,overcast clouds
171,Uspenka,48.3903,39.1619,33.73,91,100,17.05,UA,overcast clouds
172,San Luis,-33.295,-66.3356,89.83,23,0,6.24,AR,clear sky
173,Oistins,13.0667,-59.5333,80.69,69,20,17.27,BB,few clouds
