City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
416,Ambon,ID,82.54,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
420,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
425,Treinta Y Tres,UY,81.34,scattered clouds,-33.2333,-54.3833,Jardines Apart-Hotel
438,Vaitape,PF,79.83,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
443,San Felipe,VE,82.11,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
452,Tucurui,BR,81.23,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
454,Maldonado,UY,83.59,clear sky,-34.6667,-54.9167,La Cimarrona
455,Richards Bay,ZA,77.59,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
460,Howard Springs,AU,84.11,light rain,-12.497,131.047,buffalo beach hostel
465,Porto Novo,BJ,86.97,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
466,Saint-Joseph,RE,79.18,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
471,Gizo,SB,81.37,moderate rain,-8.103,156.8419,Imagination Island
484,Magadi,IN,75.54,scattered clouds,12.9667,77.2333,Gowdru Military Hotel Magadi
486,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
494,Pochutla,MX,82.22,clear sky,15.7432,-96.4661,Hotel Posada San Jose
497,Maragogi,BR,84.31,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
500,Sao Gabriel Da Cachoeira,BR,86.34,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
506,Pemba,MZ,80.4,clear sky,-12.974,40.5178,Guesthouse Samotina
513,Labuhan,ID,77.5,overcast clouds,-6.8844,112.2051,DoubleFAG
514,Rio Grande,BR,82.51,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
515,Maceio,BR,89.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
517,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
