City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
123,Saskylakh,71.9167,114.0833,-17.91,100,100,2.46,RU,overcast clouds
124,Pisco,-13.7,-76.2167,75.25,69,75,5.75,PE,broken clouds
125,Collie,-33.3667,116.15,60.98,68,82,13.6,AU,broken clouds
126,Pevek,69.7008,170.3133,-12.42,95,100,2.48,RU,overcast clouds
127,Hermanus,-34.4187,19.2345,70.81,85,100,13.65,ZA,overcast clouds
128,Tamandare,-8.7597,-35.1047,80.08,79,99,9.17,BR,overcast clouds
129,Bay Roberts,47.5999,-53.2648,44.33,83,100,7.0,CA,overcast clouds
130,Chokurdakh,70.6333,147.9167,-30.15,92,17,2.53,RU,few clouds
131,Manaus,-3.1019,-60.025,82.89,83,75,2.3,BR,broken clouds
132,Tessalit,20.1986,1.0114,71.15,14,16,10.89,ML,few clouds
133,High Prairie,55.4334,-116.4858,28.58,88,28,2.66,CA,scattered clouds
134,Thurso,58.5927,-3.5259,41.25,98,100,16.67,GB,heavy intensity rain
135,Namatanai,-3.6667,152.4333,79.79,80,100,3.44,PG,overcast clouds
136,Hami,42.8,93.45,23.63,41,100,1.3,CN,overcast clouds
137,Tuktoyaktuk,69.4541,-133.0374,-2.2,84,100,19.57,CA,light snow
138,Omboue,-1.5746,9.2618,78.94,83,100,4.68,GA,light rain
139,Zharkent,44.1628,80.0,23.79,69,4,6.64,KZ,clear sky
140,Aswan,24.0934,32.907,56.5,35,0,4.61,EG,clear sky
141,Shu,43.5983,73.7614,30.63,83,36,3.58,KZ,scattered clouds
142,Barrow,71.2906,-156.7887,-9.38,70,100,8.05,US,overcast clouds
143,Khorixas,-20.3667,14.9667,64.81,64,100,15.86,NA,overcast clouds
144,Mangai,-4.05,19.5333,78.13,68,100,0.87,CD,overcast clouds
145,Dakar,14.6937,-17.4441,71.73,83,100,18.41,SN,overcast clouds
146,Qasigiannguit,68.8193,-51.1922,7.05,74,100,8.75,GL,overcast clouds
147,Kurilsk,45.2333,147.8833,18.05,69,100,17.87,RU,light snow
148,Acarau,-2.8856,-40.12,77.31,84,100,9.31,BR,overcast clouds
149,Saldanha,-33.0117,17.9442,66.25,91,99,9.57,ZA,overcast clouds
150,Delhi,28.6667,77.2167,53.69,87,0,0.0,IN,mist
151,Cayenne,4.9333,-52.3333,78.84,88,75,1.99,GF,broken clouds
152,Tezu,27.9167,96.1667,51.93,53,22,3.76,IN,few clouds
153,Bilibino,68.0546,166.4372,-12.51,95,72,5.39,RU,broken clouds
154,Itoman,26.1247,127.6694,59.02,63,100,24.16,JP,overcast clouds
155,Kysyl-Syr,63.8986,122.7617,-26.18,100,100,3.15,RU,overcast clouds
156,Yulara,-25.2406,130.9889,73.24,94,75,14.97,AU,light rain
